<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;D;13/08/24;000000;856.8;856.8;833;848.5;100933
MDMG;D;14/08/24;000000;850;862.9;847.3;853;155241
MDMG;D;15/08/24;000000;853.7;861.7;841;847.1;134504
MDMG;D;16/08/24;000000;846.2;848.9;836.1;843.2;77082
MDMG;D;17/08/24;000000;843.2;847.4;825;825.2;165918
MDMG;D;20/08/24;000000;826.9;831;811.4;827;151713
MDMG;D;21/08/24;000000;825.3;833.4;810.1;828.1;115083
MDMG;D;22/08/24;000000;830;841.6;821.4;839;120377
MDMG;D;23/08/24;000000;842.3;848.9;818.4;825;235872
MDMG;D;24/08/24;000000;821.1;838.9;813;821.1;163719
MDMG;D;27/08/24;000000;845;852;824;847;144167
MDMG;D;28/08/24;000000;847.1;869;830.2;838.2;250077
MDMG;D;29/08/24;000000;843;865;815.1;821;258399
MDMG;D;30/08/24;000000;822.9;855;820;834.9;321522
MDMG;D;31/08/24;000000;835;844.9;820.4;825.2;234041
MDMG;D;03/09/24;000000;829;829.6;801.1;801.1;239164
MDMG;D;04/09/24;000000;805.5;835;802;810;244993
MDMG;D;05/09/24;000000;811.7;819;811.1;817.3;139539
MDMG;D;06/09/24;000000;822;840;821;835.3;115072
MDMG;D;07/09/24;000000;837.9;839;821.3;832.5;97079
MDMG;D;10/09/24;000000;823;841.6;810;840.2;169359
MDMG;D;11/09/24;000000;840.2;844.4;830.3;834.9;96262
MDMG;D;12/09/24;000000;834.9;839.3;819;828.5;78210
MDMG;D;13/09/24;000000;820;827.4;815.4;823.1;38488
MDMG;D;14/09/24;000000;823.1;829.9;813.1;819;124466
MDMG;D;17/09/24;000000;827.6;839;823.1;831.7;71347
MDMG;D;18/09/24;000000;837;850;833.7;848.7;83399
MDMG;D;19/09/24;000000;849;852.7;825.1;841.4;70526
MDMG;D;20/09/24;000000;841;842;835;838;66966
MDMG;D;21/09/24;000000;839.1;865;836.4;864.8;168254
MDMG;D;24/09/24;000000;873;892;872.3;878.5;160192
MDMG;D;25/09/24;000000;890.3;895;860.4;870;140212
MDMG;D;26/09/24;000000;873.7;878.5;856;869.7;102396
MDMG;D;27/09/24;000000;870.2;886.7;869;880;188739
MDMG;D;28/09/24;000000;879.9;895;875.3;885.9;117264
MDMG;D;01/10/24;000000;894.9;922;890.9;901.3;210308
MDMG;D;02/10/24;000000;901.5;914.1;880.3;885.5;184795
MDMG;D;03/10/24;000000;890.3;909.3;883.4;883.4;137288
MDMG;D;04/10/24;000000;882.6;891.9;852.8;870;100927
MDMG;D;05/10/24;000000;878.4;886.5;866;874.9;68105
MDMG;D;08/10/24;000000;880.8;882;860.2;869.9;60629
MDMG;D;09/10/24;000000;869;870;861;867.1;38462
MDMG;D;10/10/24;000000;869.9;888.8;865;870;149965
MDMG;D;11/10/24;000000;871.5;879.3;865;876.2;44495
MDMG;D;12/10/24;000000;875;877.5;868.1;874.4;36946
MDMG;D;15/10/24;000000;872;879.8;862.8;878;70820
MDMG;D;16/10/24;000000;878;892.2;876.7;880.5;119850
MDMG;D;17/10/24;000000;882;895;881.2;885.5;124030
MDMG;D;18/10/24;000000;885.9;890;870.3;870.3;63603
MDMG;D;19/10/24;000000;872.2;872.4;854.1;861.7;72185
MDMG;D;22/10/24;000000;866;870;859;864.2;72139
MDMG;D;23/10/24;000000;864.4;870;841;846.2;112908
MDMG;D;24/10/24;000000;847;848.9;820.2;846;96345
MDMG;D;25/10/24;000000;846;860;831.5;855.9;51940
MDMG;D;26/10/24;000000;856.2;863.1;830;841.6;98101
MDMG;D;29/10/24;000000;837;844.5;815;815.8;83911
MDMG;D;30/10/24;000000;816.6;840;806.3;831.3;133144
MDMG;D;31/10/24;000000;841.1;970;841;867.7;778068
MDMG;D;01/11/24;000000;873.1;879.8;846.9;853.6;137707
MDMG;D;02/11/24;000000;854;864.5;828;845.7;136889
MDMG;D;03/11/24;000000;846.2;848.2;833;842.2;36880
MDMG;D;06/11/24;000000;845;855;834.4;839.6;98974
MDMG;D;07/11/24;000000;851.3;864.9;839;842;111510
MDMG;D;08/11/24;000000;845;845;834;841.2;53465
MDMG;D;09/11/24;000000;845.7;861;844;859;117035
MDMG;D;12/11/24;000000;861;876.9;861;867.7;111847
MDMG;D;13/11/24;000000;871.7;887;868.1;878.4;121324
MDMG;D;14/11/24;000000;879.3;888;878.7;883;99625
MDMG;D;15/11/24;000000;880;888;862.2;874;131564
MDMG;D;16/11/24;000000;874;892.7;865.4;890.4;126408
MDMG;D;19/11/24;000000;887;908;868;895.5;232696
MDMG;D;20/11/24;000000;897.6;900;864;880;189733
MDMG;D;21/11/24;000000;877.2;888.5;865;867.8;57134
MDMG;D;22/11/24;000000;868;878.2;859;862.8;63438
MDMG;D;23/11/24;000000;870;876.9;867;872.7;33172
MDMG;D;26/11/24;000000;875.5;890;872;879.2;121479
MDMG;D;27/11/24;000000;881;886.3;863;863;99742
MDMG;D;28/11/24;000000;863;873.6;835;854;141583
MDMG;D;29/11/24;000000;864.3;869.7;842.5;860.4;99561
MDMG;D;30/11/24;000000;847.7;866.3;847.2;853.9;130685
MDMG;D;03/12/24;000000;860.4;868.7;855.4;858.8;100123
MDMG;D;04/12/24;000000;860.1;864.2;836.5;854;72376
MDMG;D;05/12/24;000000;857.3;859.5;841;845;73645
MDMG;D;06/12/24;000000;846;852.3;841;846.1;63189
MDMG;D;07/12/24;000000;855;856.5;846;849.6;60686
MDMG;D;10/12/24;000000;850.5;853.9;845;846.1;89772
MDMG;D;11/12/24;000000;846.1;850.3;840;841.8;116657
MDMG;D;12/12/24;000000;841.8;849.1;838.1;844.2;69531
