<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;12/08/24;110000;856.8;856.8;845.3;849.4;16095
MDMG;60;12/08/24;120000;849.4;850;848;848;3819
MDMG;60;12/08/24;130000;848.1;848.5;840;844;23643
MDMG;60;12/08/24;140000;843.6;844.3;840;843.8;7850
MDMG;60;12/08/24;150000;844;847;843;845.5;4710
MDMG;60;12/08/24;160000;845.6;847;833;847;22427
MDMG;60;12/08/24;170000;847;853;846;850;12711
MDMG;60;12/08/24;180000;850;850;848;848.9;3904
MDMG;60;12/08/24;190000;848.9;851.9;847.3;848.5;5774
MDMG;60;13/08/24;110000;850;855;847.3;853.5;21316
MDMG;60;13/08/24;120000;853.1;853.5;848.3;852.2;11397
MDMG;60;13/08/24;130000;852.2;853.4;850.9;852;9312
MDMG;60;13/08/24;140000;852.5;853.5;851.6;852.8;7268
MDMG;60;13/08/24;150000;852.8;853.3;850.6;852.2;8021
MDMG;60;13/08/24;160000;852.5;859.9;851.6;857;37427
MDMG;60;13/08/24;170000;857;860.3;852;860.2;27386
MDMG;60;13/08/24;180000;860.2;862.9;851.5;855;28341
MDMG;60;13/08/24;190000;855;857.4;852.6;853;4773
MDMG;60;14/08/24;110000;853.7;861.7;853;853;10314
MDMG;60;14/08/24;120000;853.2;856;845.2;851.3;26476
MDMG;60;14/08/24;130000;851.1;851.9;848.6;848.9;15849
MDMG;60;14/08/24;140000;849.3;850;848.7;849.1;19022
MDMG;60;14/08/24;150000;849.1;850;847.3;848.7;22732
MDMG;60;14/08/24;160000;848.4;849.5;841;846.1;28493
MDMG;60;14/08/24;170000;846.6;846.6;845.3;846;1082
MDMG;60;14/08/24;180000;846;850;844;848.7;5969
MDMG;60;14/08/24;190000;848.6;848.8;844.4;847.1;4567
MDMG;60;15/08/24;110000;846.2;848;836.1;840.3;10354
MDMG;60;15/08/24;120000;839.5;844.9;839.1;841.9;6551
MDMG;60;15/08/24;130000;841.9;845;840;844.2;19827
MDMG;60;15/08/24;140000;844.2;848.9;842;848.1;14882
MDMG;60;15/08/24;150000;848.1;848.7;842.8;845;2489
MDMG;60;15/08/24;160000;845;845;841.8;842;10633
MDMG;60;15/08/24;170000;842;844;841;843.9;3917
MDMG;60;15/08/24;180000;843.9;843.9;840;842.9;5454
MDMG;60;15/08/24;190000;841.6;843.6;840.3;843.2;2975
MDMG;60;16/08/24;110000;843.2;847.4;832.2;832.4;15806
MDMG;60;16/08/24;120000;832.4;836;831.1;833.1;21583
