<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;60;12/08/24;110000;34.315;34.5;34.28;34.5;1377280
RUAL;60;12/08/24;120000;34.495;34.575;34.3;34.36;1093950
RUAL;60;12/08/24;130000;34.36;34.67;34.3;34.585;674630
RUAL;60;12/08/24;140000;34.59;34.77;34.56;34.62;680700
RUAL;60;12/08/24;150000;34.615;34.825;34.6;34.82;1205300
RUAL;60;12/08/24;160000;34.825;34.915;34.705;34.795;1206030
RUAL;60;12/08/24;170000;34.805;34.91;34.675;34.68;652490
RUAL;60;12/08/24;180000;34.68;34.68;34.44;34.61;1333140
RUAL;60;12/08/24;190000;34.61;34.715;34.55;34.55;569120
RUAL;60;12/08/24;200000;34.62;34.7;34.52;34.655;157150
RUAL;60;12/08/24;210000;34.655;34.7;34.55;34.67;173570
RUAL;60;12/08/24;220000;34.69;34.74;34.665;34.705;125480
RUAL;60;12/08/24;230000;34.7;34.83;34.695;34.8;216800
RUAL;60;13/08/24;000000;34.8;34.955;34.74;34.745;1089640
RUAL;60;13/08/24;110000;34.9;35.13;34.76;35.07;1652110
RUAL;60;13/08/24;120000;35.065;35.07;34.82;34.965;1122800
RUAL;60;13/08/24;130000;34.97;35.09;34.9;35.085;1320440
RUAL;60;13/08/24;140000;35.09;35.1;35;35.01;665370
RUAL;60;13/08/24;150000;35.015;35.03;34.9;34.995;371900
RUAL;60;13/08/24;160000;34.995;35.075;34.995;35.075;439640
RUAL;60;13/08/24;170000;35.075;35.575;34.905;35.5;6156630
RUAL;60;13/08/24;180000;35.48;35.525;35.31;35.325;1321990
RUAL;60;13/08/24;190000;35.32;35.385;35.15;35.385;1154000
RUAL;60;13/08/24;200000;35.385;35.4;35.215;35.355;554580
RUAL;60;13/08/24;210000;35.365;35.54;35.35;35.53;1016600
RUAL;60;13/08/24;220000;35.51;35.525;35.32;35.37;687940
RUAL;60;13/08/24;230000;35.375;35.445;35.33;35.355;332630
RUAL;60;14/08/24;000000;35.35;35.49;35.3;35.465;360870
RUAL;60;14/08/24;110000;35.65;35.8;35.3;35.615;4483080
RUAL;60;14/08/24;120000;35.615;35.73;35.36;35.5;5103440
RUAL;60;14/08/24;130000;35.5;35.545;35.45;35.475;578350
RUAL;60;14/08/24;140000;35.46;35.485;35.205;35.32;1697610
RUAL;60;14/08/24;150000;35.315;35.375;35.21;35.275;531040
RUAL;60;14/08/24;160000;35.28;35.31;35.05;35.22;1074540
RUAL;60;14/08/24;170000;35.22;35.28;35.145;35.21;52290
RUAL;60;14/08/24;180000;35.165;35.295;35.005;35.15;700170
RUAL;60;14/08/24;190000;35.15;35.165;34.775;34.91;1845880
RUAL;60;14/08/24;200000;34.9;34.9;34.345;34.575;2739600
RUAL;60;14/08/24;210000;34.575;34.65;34.51;34.6;692260
RUAL;60;14/08/24;220000;34.6;34.66;34.495;34.63;343420
RUAL;60;14/08/24;230000;34.63;34.65;34.525;34.53;218830
RUAL;60;15/08/24;000000;34.53;34.65;34.53;34.59;215470
RUAL;60;15/08/24;110000;34.635;34.645;34.355;34.475;1789510
RUAL;60;15/08/24;120000;34.475;34.6;34.4;34.44;669490
RUAL;60;15/08/24;130000;34.44;34.65;34.375;34.58;564720
RUAL;60;15/08/24;140000;34.58;34.58;34.44;34.55;366960
RUAL;60;15/08/24;150000;34.555;34.56;34.455;34.495;227670
