company_id;udalennost_sklada_postavshchika_ot_zakazchika;nalichie_sobstvennogo_avtoparka_logisticheskikh_setei_i_podryadchikov;nalichie_i_dostatochnost_proizvodstvennykh_ofisnykh_i_skladskikh_ploshchadei;opyt_raboty_predpriyatiya_po_izgotovleniyu_analogichnoy_produktsii;uroven_tseny_zayavki;finansovaya_zavisimost;stabilnost_denezhnykh_potokov
0;523;0;0;34;2500000;0.9;0.92
1;514;0;0;50;8100000;0.34;0.04
2;316;0;1;37;4400000;0.29;0.41
3;793;1;0;42;1000000;0.54;0.29
4;883;1;1;13;8500000;0.51;0.09
8;406;1;1;36;3100000;0.27;0.06
9;820;1;1;39;3900000;0.9;0.93
12;136;1;0;39;8400000;0.02;0.37
13;586;1;1;27;1600000;0.47;0.53
14;181;0;1;4;1400000;0.23;0.98
15;514;0;0;8;9500000;0.07;0.1
16;667;0;0;34;7300000;0.13;0.85
18;595;0;1;36;4100000;0.47;0.98
21;631;0;1;46;1900000;0.07;0.68
23;442;0;1;8;3900000;0.56;0.24
24;163;1;1;10;9200000;0.89;0.02
25;640;1;1;14;2200000;0.92;0.3
27;937;1;1;45;4400000;0.15;0.81
28;739;1;1;10;2500000;0.77;0.08
29;100;1;1;42;2500000;0.06;0.14
30;604;0;1;49;9400000;0;0.51
31;577;1;1;50;8700000;0.47;0.15
32;199;1;1;8;5300000;0.85;0.61
33;667;0;0;4;6300000;0.96;0.24
35;829;1;1;48;9800000;0.56;0.74
36;838;1;0;6;7600000;0.35;0.28
37;127;0;0;18;3200000;0.77;0.39
38;748;0;0;44;9900000;0.11;0.52
39;694;0;0;34;900000;0.94;0.61
40;154;1;0;16;9900000;0.36;0.32
42;568;1;0;5;2100000;0.03;0.68
43;244;1;1;44;9000000;0.81;0.85
44;379;0;0;44;3600000;0.01;0.38
45;217;0;0;13;4900000;0.98;0.65
46;712;1;0;29;4100000;0.07;0.75
47;694;1;1;48;2800000;0.62;0.28
49;739;0;0;20;9300000;0.77;0.99
51;334;1;1;8;2300000;0.86;0.87
52;442;1;0;19;1400000;0.17;0.94
53;154;0;0;20;1200000;0.09;0.39
54;613;1;1;26;8900000;0.08;0.67
56;415;1;0;42;6100000;0.26;0.73
57;199;1;1;22;1600000;0.17;0.61
58;811;1;1;43;7800000;0.79;0.42
59;775;1;1;48;100000;0.04;0.34
60;766;0;0;36;7000000;1;0.68
61;199;1;1;17;6800000;0.47;0.57
62;361;1;0;43;3000000;0.03;0.34
63;433;1;0;44;6200000;0.32;0.17
64;370;0;1;18;9800000;0.79;0.38
65;982;1;0;16;2800000;0.69;0.54
66;586;1;0;6;4500000;0.37;0.56
67;163;0;1;16;3800000;0.69;0.38
68;289;0;1;44;3900000;0.22;0.14
69;649;0;1;16;3100000;0.72;0.1
70;235;0;1;30;500000;0.08;0.72
71;388;1;1;24;4500000;0.8;0.24
72;289;1;1;9;3400000;0.38;0.12
73;262;1;1;2;600000;0.21;0.46
74;748;1;0;30;9500000;0.15;0.87
77;118;1;1;34;9600000;0.99;0.84
79;667;1;0;34;5900000;0.41;0.73
81;991;1;1;6;3700000;0.65;0.75
83;937;1;0;22;6900000;0.16;0.67
86;118;0;1;32;9600000;0.1;0.64
87;811;0;1;17;7300000;0.48;0.04
88;640;1;1;43;8100000;0.37;0.83
90;550;1;1;46;5200000;0.14;0.94
92;523;0;1;46;6100000;0.15;0.38
94;379;0;1;43;1400000;0.25;0.05
95;415;0;0;5;5200000;0.79;0.82
96;829;1;1;50;900000;0.89;0.1
97;739;0;1;14;5400000;0.26;0.47
100;973;1;1;6;2700000;0.65;0.35
103;505;1;0;30;6800000;0.19;0.53
104;307;1;0;4;9800000;0.77;0.41
105;964;0;1;8;8300000;0.76;0.67
106;838;0;1;2;6600000;0.21;0.01
107;694;1;0;28;9900000;0.46;0.72
108;316;0;1;5;8300000;0.4;0.9
109;784;1;1;36;8100000;0.46;0.96
111;163;1;1;20;3700000;0.17;0.77
113;550;0;0;25;7900000;0.23;0.84
114;829;0;1;18;9300000;0.97;0.03
115;307;1;0;28;5300000;0.55;0.65
116;919;1;1;46;7700000;0.48;0.36
117;154;0;1;35;9100000;0.4;0.17
119;496;1;1;33;8600000;0;0.86
121;496;0;0;36;9200000;0.6;0.95
